"","word","n","brand","ReviewSource"
"1","canât create",4,"abeg","AppStore"
"2","donât download",4,"abeg","AppStore"
"3","isues withdrawing",4,"abeg","AppStore"
"4","loading loading",4,"abeg","AppStore"
"5","ap keps",3,"abeg","AppStore"
"6","bank acount",3,"abeg","AppStore"
"7","canât proced",3,"abeg","AppStore"
"8","abeg fix",2,"abeg","AppStore"
"9","aces acount",2,"abeg","AppStore"
"10","aces anymore",2,"abeg","AppStore"
"11","advertisementsi canât",2,"abeg","AppStore"
"12","ap uninstal",2,"abeg","AppStore"
"13","apathetic customer",2,"abeg","AppStore"
"14","buy airtime",2,"abeg","AppStore"
"15","canât aford",2,"abeg","AppStore"
"16","close butons",2,"abeg","AppStore"
"17","customer service",2,"abeg","AppStore"
"18","didnât load",2,"abeg","AppStore"
"19","don jazy",2,"abeg","AppStore"
"20","email adres",2,"abeg","AppStore"
"21","god twiter",2,"abeg","AppStore"
"22","handle karomanuel",2,"abeg","AppStore"
"23","havenât download",2,"abeg","AppStore"
"24","jazy ap",2,"abeg","AppStore"
"25","keps crashing",2,"abeg","AppStore"
"26","load airtime",2,"abeg","AppStore"
"27","lose money",2,"abeg","AppStore"
"28","lot easy",2,"abeg","AppStore"
"29","people theyâl",2,"abeg","AppStore"
"30","realy god",2,"abeg","AppStore"
"31","registration abeg",2,"abeg","AppStore"
"32","send money",2,"abeg","AppStore"
"33","stil didnât",2,"abeg","AppStore"
"34","thatâs linked",2,"abeg","AppStore"
"35","theyâl run",2,"abeg","AppStore"
"36","time iâm",2,"abeg","AppStore"
"37","twiter handle",2,"abeg","AppStore"
"38","verification code",2,"abeg","AppStore"
"39","withdraw slow",2,"abeg","AppStore"
"40","wonât actualy",2,"abeg","AppStore"
"41","yesterday hope",2,"abeg","AppStore"
"42","send money",9,"flutterwave","AppStore"
"43","barter acount",6,"flutterwave","AppStore"
"44","virtual card",6,"flutterwave","AppStore"
"45","transfer money",5,"flutterwave","AppStore"
"46","bank acount",4,"flutterwave","AppStore"
"47","customer service",4,"flutterwave","AppStore"
"48","debit card",4,"flutterwave","AppStore"
"49","aple music",3,"flutterwave","AppStore"
"50","iâve ben",3,"flutterwave","AppStore"
"51","mobile ap",3,"flutterwave","AppStore"
"52","takes forever",3,"flutterwave","AppStore"
"53","ad cash",2,"flutterwave","AppStore"
"54","ap barter",2,"flutterwave","AppStore"
"55","ap iâm",2,"flutterwave","AppStore"
"56","bad luck",2,"flutterwave","AppStore"
"57","buy airtime",2,"flutterwave","AppStore"
"58","canât aces",2,"flutterwave","AppStore"
"59","canât se",2,"flutterwave","AppStore"
"60","didnât reflect",2,"flutterwave","AppStore"
"61","doesnât match",2,"flutterwave","AppStore"
"62","dolar card",2,"flutterwave","AppStore"
"63","exchange rate",2,"flutterwave","AppStore"
"64","keps teling",2,"flutterwave","AppStore"
"65","live chat",2,"flutterwave","AppStore"
"66","naira acount",2,"flutterwave","AppStore"
"67","nice ap",2,"flutterwave","AppStore"
"68","otp code",2,"flutterwave","AppStore"
"69","realy disapointed",2,"flutterwave","AppStore"
"70","sending money",2,"flutterwave","AppStore"
"71","suport team",2,"flutterwave","AppStore"
"72","bank acount",86,"abeg","Playstore"
"73","abeg ap",61,"abeg","Playstore"
"74","ive ben",48,"abeg","Playstore"
"75","abeg acount",42,"abeg","Playstore"
"76","nice ap",40,"abeg","Playstore"
"77","internet conection",39,"abeg","Playstore"
"78","god ap",36,"abeg","Playstore"
"79","keps teling",36,"abeg","Playstore"
"80","bvn verification",30,"abeg","Playstore"
"81","customer care",29,"abeg","Playstore"
"82","dont understand",25,"abeg","Playstore"
"83","customer service",24,"abeg","Playstore"
"84","ben restricted",20,"abeg","Playstore"
"85","abeg walet",19,"abeg","Playstore"
"86","ap keps",19,"abeg","Playstore"
"87","buy airtime",19,"abeg","Playstore"
"88","send money",19,"abeg","Playstore"
"89","withdrawal bank",17,"abeg","Playstore"
"90","ap doesnt",16,"abeg","Playstore"
"91","useles ap",16,"abeg","Playstore"
"92","withdrawal acount",16,"abeg","Playstore"
"93","dolar card",122,"flutterwave","Playstore"
"94","nice ap",112,"flutterwave","Playstore"
"95","god ap",97,"flutterwave","Playstore"
"96","customer service",91,"flutterwave","Playstore"
"97","virtual card",66,"flutterwave","Playstore"
"98","awesome ap",60,"flutterwave","Playstore"
"99","exchange rate",55,"flutterwave","Playstore"
"100","send money",55,"flutterwave","Playstore"
"101","customer care",54,"flutterwave","Playstore"
"102","bank acount",51,"flutterwave","Playstore"
"103","barter acount",51,"flutterwave","Playstore"
"104","user interface",44,"flutterwave","Playstore"
"105","user friendly",42,"flutterwave","Playstore"
"106","ive ben",41,"flutterwave","Playstore"
"107","mobile money",41,"flutterwave","Playstore"
"108","amazing ap",37,"flutterwave","Playstore"
"109","barter ap",31,"flutterwave","Playstore"
"110","dolar acount",29,"flutterwave","Playstore"
"111","facebok ads",29,"flutterwave","Playstore"
"112","customer suport",26,"flutterwave","Playstore"
