"sentiment","n","brand","ReviewSource"
"anger",43,"abeg","AppStore"
"anticipation",22,"abeg","AppStore"
"disgust",1,"abeg","AppStore"
"fear",12,"abeg","AppStore"
"joy",14,"abeg","AppStore"
"negative",26,"abeg","AppStore"
"positive",28,"abeg","AppStore"
"sadness",2,"abeg","AppStore"
"trust",18,"abeg","AppStore"
"anger",81,"flutterwave","AppStore"
"anticipation",57,"flutterwave","AppStore"
"disgust",8,"flutterwave","AppStore"
"fear",8,"flutterwave","AppStore"
"joy",25,"flutterwave","AppStore"
"negative",38,"flutterwave","AppStore"
"positive",70,"flutterwave","AppStore"
"sadness",1,"flutterwave","AppStore"
"trust",68,"flutterwave","AppStore"
"anger",479,"abeg","Playstore"
"anticipation",764,"abeg","Playstore"
"disgust",55,"abeg","Playstore"
"fear",129,"abeg","Playstore"
"joy",299,"abeg","Playstore"
"negative",447,"abeg","Playstore"
"positive",770,"abeg","Playstore"
"sadness",31,"abeg","Playstore"
"surprise",8,"abeg","Playstore"
"trust",336,"abeg","Playstore"
"anger",1106,"flutterwave","Playstore"
"anticipation",1729,"flutterwave","Playstore"
"disgust",72,"flutterwave","Playstore"
"fear",209,"flutterwave","Playstore"
"joy",722,"flutterwave","Playstore"
"negative",625,"flutterwave","Playstore"
"positive",1537,"flutterwave","Playstore"
"sadness",60,"flutterwave","Playstore"
"surprise",16,"flutterwave","Playstore"
"trust",1085,"flutterwave","Playstore"
