"","date","ReviewSource","brand","n"
"1",2018-11-07,"Playstore","flutterwave",1
"2",2018-11-09,"Playstore","flutterwave",1
"3",2018-11-16,"Playstore","flutterwave",1
"4",2018-11-18,"Playstore","flutterwave",2
"5",2018-11-24,"Playstore","flutterwave",1
"6",2018-11-25,"Playstore","flutterwave",1
"7",2018-11-26,"AppStore","flutterwave",2
"8",2018-11-29,"Playstore","flutterwave",1
"9",2018-12-02,"AppStore","flutterwave",1
"10",2018-12-03,"AppStore","flutterwave",1
"11",2018-12-04,"AppStore","flutterwave",1
"12",2018-12-05,"Playstore","flutterwave",2
"13",2018-12-08,"Playstore","flutterwave",2
"14",2018-12-09,"Playstore","flutterwave",1
"15",2018-12-11,"Playstore","flutterwave",1
"16",2018-12-12,"Playstore","flutterwave",1
"17",2018-12-13,"Playstore","flutterwave",1
"18",2018-12-14,"Playstore","flutterwave",2
"19",2018-12-19,"Playstore","flutterwave",1
"20",2018-12-20,"Playstore","flutterwave",1
"21",2018-12-22,"Playstore","flutterwave",1
"22",2018-12-31,"Playstore","flutterwave",1
"23",2019-01-03,"Playstore","flutterwave",1
"24",2019-01-10,"Playstore","flutterwave",1
"25",2019-01-11,"AppStore","flutterwave",1
"26",2019-01-16,"Playstore","flutterwave",1
"27",2019-01-17,"AppStore","flutterwave",3
"28",2019-01-17,"Playstore","flutterwave",27
"29",2019-01-19,"Playstore","flutterwave",1
"30",2019-01-20,"Playstore","flutterwave",2
"31",2019-01-21,"Playstore","flutterwave",2
"32",2019-01-22,"AppStore","flutterwave",1
"33",2019-01-22,"Playstore","flutterwave",2
"34",2019-01-23,"Playstore","flutterwave",2
"35",2019-01-24,"Playstore","flutterwave",2
"36",2019-01-25,"Playstore","flutterwave",2
"37",2019-01-26,"Playstore","flutterwave",1
"38",2019-01-27,"Playstore","flutterwave",1
"39",2019-01-28,"Playstore","flutterwave",3
"40",2019-01-29,"Playstore","flutterwave",2
"41",2019-01-30,"Playstore","flutterwave",2
"42",2019-01-31,"Playstore","flutterwave",1
"43",2019-02-01,"AppStore","flutterwave",1
"44",2019-02-01,"Playstore","flutterwave",1
"45",2019-02-02,"Playstore","flutterwave",1
"46",2019-02-03,"Playstore","flutterwave",2
"47",2019-02-04,"Playstore","flutterwave",1
"48",2019-02-05,"Playstore","flutterwave",1
"49",2019-02-06,"AppStore","flutterwave",1
"50",2019-02-06,"Playstore","flutterwave",4
"51",2019-02-07,"Playstore","flutterwave",2
"52",2019-02-08,"Playstore","flutterwave",1
"53",2019-02-09,"Playstore","flutterwave",1
"54",2019-02-10,"Playstore","flutterwave",3
"55",2019-02-11,"Playstore","flutterwave",2
"56",2019-02-12,"Playstore","flutterwave",1
"57",2019-02-13,"Playstore","flutterwave",1
"58",2019-02-14,"Playstore","flutterwave",1
"59",2019-02-15,"Playstore","flutterwave",2
"60",2019-02-16,"AppStore","flutterwave",1
"61",2019-02-16,"Playstore","flutterwave",1
"62",2019-02-17,"Playstore","flutterwave",1
"63",2019-02-18,"Playstore","flutterwave",1
"64",2019-02-19,"Playstore","flutterwave",1
"65",2019-02-20,"Playstore","flutterwave",1
"66",2019-02-21,"Playstore","flutterwave",1
"67",2019-02-22,"Playstore","flutterwave",1
"68",2019-02-23,"Playstore","flutterwave",4
"69",2019-02-25,"Playstore","flutterwave",3
"70",2019-02-26,"Playstore","flutterwave",2
"71",2019-02-28,"Playstore","flutterwave",4
"72",2019-03-01,"Playstore","flutterwave",2
"73",2019-03-02,"Playstore","flutterwave",1
"74",2019-03-03,"Playstore","flutterwave",1
"75",2019-03-04,"Playstore","flutterwave",2
"76",2019-03-06,"Playstore","flutterwave",3
"77",2019-03-07,"Playstore","flutterwave",2
"78",2019-03-08,"AppStore","flutterwave",1
"79",2019-03-08,"Playstore","flutterwave",2
"80",2019-03-09,"Playstore","flutterwave",5
"81",2019-03-10,"Playstore","flutterwave",2
"82",2019-03-12,"Playstore","flutterwave",2
"83",2019-03-13,"Playstore","flutterwave",3
"84",2019-03-14,"Playstore","flutterwave",1
"85",2019-03-15,"AppStore","flutterwave",1
"86",2019-03-15,"Playstore","flutterwave",2
"87",2019-03-16,"Playstore","flutterwave",2
"88",2019-03-17,"AppStore","flutterwave",1
"89",2019-03-17,"Playstore","flutterwave",2
"90",2019-03-18,"Playstore","flutterwave",3
"91",2019-03-19,"AppStore","flutterwave",2
"92",2019-03-19,"Playstore","flutterwave",1
"93",2019-03-20,"Playstore","flutterwave",1
"94",2019-03-22,"Playstore","flutterwave",2
"95",2019-03-23,"AppStore","flutterwave",1
"96",2019-03-23,"Playstore","flutterwave",1
"97",2019-03-25,"AppStore","flutterwave",1
"98",2019-03-27,"Playstore","flutterwave",1
"99",2019-03-28,"Playstore","flutterwave",4
"100",2019-03-29,"Playstore","flutterwave",2
"101",2019-03-30,"Playstore","flutterwave",1
"102",2019-03-31,"Playstore","flutterwave",2
"103",2019-04-01,"Playstore","flutterwave",1
"104",2019-04-03,"Playstore","flutterwave",1
"105",2019-04-04,"Playstore","flutterwave",5
"106",2019-04-05,"Playstore","flutterwave",2
"107",2019-04-06,"Playstore","flutterwave",1
"108",2019-04-08,"Playstore","flutterwave",2
"109",2019-04-10,"Playstore","flutterwave",2
"110",2019-04-11,"Playstore","flutterwave",1
"111",2019-04-12,"Playstore","flutterwave",3
"112",2019-04-14,"Playstore","flutterwave",2
"113",2019-04-15,"Playstore","flutterwave",2
"114",2019-04-16,"AppStore","flutterwave",1
"115",2019-04-16,"Playstore","flutterwave",1
"116",2019-04-17,"AppStore","flutterwave",1
"117",2019-04-17,"Playstore","flutterwave",1
"118",2019-04-18,"Playstore","flutterwave",1
"119",2019-04-19,"AppStore","flutterwave",1
"120",2019-04-19,"Playstore","flutterwave",3
"121",2019-04-20,"Playstore","flutterwave",1
"122",2019-04-21,"Playstore","flutterwave",2
"123",2019-04-22,"Playstore","flutterwave",1
"124",2019-04-23,"Playstore","flutterwave",2
"125",2019-04-24,"AppStore","flutterwave",1
"126",2019-04-24,"Playstore","flutterwave",4
"127",2019-04-26,"Playstore","flutterwave",2
"128",2019-04-29,"Playstore","flutterwave",1
"129",2019-04-30,"AppStore","flutterwave",1
"130",2019-04-30,"Playstore","flutterwave",3
"131",2019-05-01,"Playstore","flutterwave",1
"132",2019-05-02,"Playstore","flutterwave",3
"133",2019-05-03,"Playstore","flutterwave",5
"134",2019-05-04,"Playstore","flutterwave",1
"135",2019-05-05,"Playstore","flutterwave",2
"136",2019-05-06,"Playstore","flutterwave",1
"137",2019-05-07,"Playstore","flutterwave",1
"138",2019-05-08,"Playstore","flutterwave",1
"139",2019-05-09,"Playstore","flutterwave",1
"140",2019-05-10,"Playstore","flutterwave",1
"141",2019-05-12,"Playstore","flutterwave",1
"142",2019-05-13,"Playstore","flutterwave",3
"143",2019-05-14,"Playstore","flutterwave",1
"144",2019-05-16,"Playstore","flutterwave",4
"145",2019-05-17,"Playstore","flutterwave",2
"146",2019-05-18,"Playstore","flutterwave",2
"147",2019-05-20,"Playstore","flutterwave",1
"148",2019-05-21,"Playstore","flutterwave",1
"149",2019-05-22,"Playstore","flutterwave",1
"150",2019-05-23,"AppStore","flutterwave",1
"151",2019-05-23,"Playstore","flutterwave",3
"152",2019-05-24,"Playstore","flutterwave",3
"153",2019-05-27,"Playstore","flutterwave",1
"154",2019-05-28,"Playstore","flutterwave",7
"155",2019-05-29,"Playstore","flutterwave",1
"156",2019-05-30,"Playstore","flutterwave",2
"157",2019-05-31,"Playstore","flutterwave",2
"158",2019-06-01,"Playstore","flutterwave",3
"159",2019-06-02,"Playstore","flutterwave",1
"160",2019-06-03,"Playstore","flutterwave",1
"161",2019-06-04,"Playstore","flutterwave",3
"162",2019-06-05,"Playstore","flutterwave",2
"163",2019-06-06,"Playstore","flutterwave",1
"164",2019-06-07,"AppStore","flutterwave",1
"165",2019-06-07,"Playstore","flutterwave",1
"166",2019-06-08,"AppStore","flutterwave",1
"167",2019-06-08,"Playstore","flutterwave",3
"168",2019-06-09,"AppStore","flutterwave",3
"169",2019-06-09,"Playstore","flutterwave",4
"170",2019-06-10,"AppStore","flutterwave",4
"171",2019-06-10,"Playstore","flutterwave",9
"172",2019-06-11,"AppStore","flutterwave",1
"173",2019-06-11,"Playstore","flutterwave",8
"174",2019-06-12,"AppStore","flutterwave",2
"175",2019-06-12,"Playstore","flutterwave",2
"176",2019-06-13,"Playstore","flutterwave",4
"177",2019-06-14,"AppStore","flutterwave",1
"178",2019-06-14,"Playstore","flutterwave",2
"179",2019-06-17,"Playstore","flutterwave",1
"180",2019-06-19,"Playstore","flutterwave",2
"181",2019-06-20,"Playstore","flutterwave",1
"182",2019-06-21,"Playstore","flutterwave",1
"183",2019-06-24,"Playstore","flutterwave",2
"184",2019-06-25,"Playstore","flutterwave",2
"185",2019-06-26,"Playstore","flutterwave",2
"186",2019-06-28,"Playstore","flutterwave",2
"187",2019-06-29,"Playstore","flutterwave",4
"188",2019-07-01,"Playstore","flutterwave",3
"189",2019-07-02,"Playstore","flutterwave",5
"190",2019-07-03,"Playstore","flutterwave",1
"191",2019-07-04,"Playstore","flutterwave",1
"192",2019-07-05,"Playstore","flutterwave",1
"193",2019-07-06,"Playstore","flutterwave",1
