,rating,review,title,isEdited,date,userName,developerResponse,brand
0,3,I have been trying to create an account it’s going through,Account not creating,False,2021-08-04 23:02:04,pablo_malki,,abeg
1,1,This is an app that shouldn’t even be on for download the app is just straight up frustrating from the beginning of my registering the app is filled with bugs even after I put in the otp it still didn’t load I restarted the app put in my information to login and they told me it was invalid I tried to register again with the same number but they said it was already taking  I tried with another number and email address only for the same thing to happen if you download this app uninstall it now  before you lose money,Terrible app,False,2021-04-18 17:01:19,dhark1737,"{'id': 24290699, 'body': 'We apologise for the difficulties you experienced while registering with us. Kindly email hello@abeg.app and we will be happy to help you further.', 'modified': '2021-08-03T13:16:44Z'}",abeg
2,1,I make transfer to my account it was successful but I didn’t get the value why all this since 24 hours now and you said it’s a fast app am in pain now because I need the money fast that’s the reason I save up there now to withdraw and get my money is hard (I also purchase card of Mtn 500 which I didn’t get the value but I leave that ) just credit me the money I make the transfer please oooo ehene (I email you no response I call your customer care line no response who those that ?),Transfer not reflected,False,2021-09-06 11:05:06,paulkeyz234,,abeg
3,5,I registered the app but the problem I have is my number that’s linked to my bvn which I don’t have access anymore. I went to my bank to change it and they said it can’t be changed. So what do you advice I do. Thanks.,Having issues.,False,2021-02-19 09:46:51,Carol Glass,"{'id': 24290732, 'body': 'Hello, we apologise for the difficulties you experienced while registering with us. Kindly email hello@abeg.app with a clear picture of a valid ID and your account details  and we will be happy to help you further.', 'modified': '2021-08-03T13:18:37Z'}",abeg
4,5,"No worries, the sky is the limit. Hoping it would create a platform where we can shop online, inclusively the Logistics program should be the next line of business.",Promising Naija Application,False,2021-09-08 14:04:08,alapsmi20,,abeg
5,5,"I just downloaded,I want to know if there is an option for saving with interest?.",Saving platform,False,2021-08-20 20:04:22,thatnayachick,,abeg
6,4,"Am having issues withdrawing my money since yesterday , hope no problem with my account",Unable to withdraw,False,2021-07-28 06:06:59,08132320195,"{'id': 24290166, 'body': 'Hello, We are glad to inform you that the issue with registration has been sorted out. Please uninstall the app and try again. If you still have more enquiries, please send an email to hello@abeg.app 💜', 'modified': '2021-08-03T12:55:41Z'}",abeg
7,4,I have a problem with adding my withdrawal account it keeps telling me add a valid account and the account I’m adding is the one i use regularly,Withdrawal account,False,2021-08-26 13:21:44,demxeey,,abeg
8,4,Im having issues withdrawing to my bank account i hope no problem,Unable to withdraw,False,2021-09-10 21:03:59,oluwatimi2000,,abeg
9,5,My joining the app is all because of whitemoney performance on today’s first task of a beg #whitemoney all the way.,Am joining the app because of whitemoney,False,2021-08-20 17:57:11,wfkingOG,,abeg
10,1,"Refund my 5,000 airtime purchase that you didn’t deliver. I have sent you guys messages on Twitter but all I get is excuses. You people also don’t reply emails, your phone number in the app why did you remove it, refund my money or I swear I will make a complain to CBN. I have all the evidence",You people are scammers,False,2021-08-18 17:18:00,billyofeast,,abeg
11,5,"Hi, I can’t get my account number after verifying  my account",Account number issue,False,2021-08-02 18:48:26,pypper12,,abeg
12,1,"Signed up here last week and funded the account immediately, ever since I have not been able to withdraw a penny, instead you went further to restrict my account for what reason your contact centre are not telling till date, please I need my money",Bad,False,2021-09-07 09:09:03,izthemight,,abeg
13,5,"If you haven’t download yet you are missing a lot 
Easy to send money and giveaway going on is massive",Best of al,False,2021-07-26 20:41:28,Westjrnnn,"{'id': 24290244, 'body': ""Thank you for your review, Please recommend our app to your friends and don't forget to make someone happy with cash 💜"", 'modified': '2021-08-03T12:58:58Z'}",abeg
14,1,There’s no way to withdraw your money from these people. They’ll run around in circles and won’t actually ever send the money to your account when you try to withdraw. Slow and apathetic customer service when you complain. DO NOT USE THIS APP!!!,DO NOT USE! These people steal your money!!,False,2021-07-29 11:39:33,😡neveragain,"{'id': 24290146, 'body': 'Hello, We are glad to inform you that the issue with withdrawals has been sorted out. Please uninstall the app and try again. If you still have more enquiries, please send an email to hello@abeg.app', 'modified': '2021-08-03T12:54:24Z'}",abeg
15,2,The app keeps showing network error. Check your internet and try again whereas I have try using different kinds of networks,Network,False,2021-08-14 14:29:23,BigPreeq,,abeg
16,1,"You guys should try to inprove the log in issue 
I have been try to log in into my account since morning but still i have not been able to log in and am just a new user 🤔",Log in issues,False,2021-08-10 10:03:04,gerry vibez,,abeg
17,1,"I decide to try the app out despite all the negative review ive read ,i downloaded it and added money and decided to try a transaction out by buying recharge card na so i make attemp , money just disappear into thin air , no means to report self",Not too good,False,2021-08-19 08:40:11,a/carman,,abeg
18,1,"I used my abeg access account number to receive an amount of 120,000 since last week Thursday from Patricia and I did get my money, I did not see that access account on my abeg profile again why??",Failure,False,2021-08-15 16:39:56,fe_rah001,,abeg
19,1,"This was a total mistake , I actually downloaded and put money in the account ,i used the money to recharge my phone a day after and the airtime was not credited till now, money gone no airtime to  show for it ,I have never felt so scammed",Worst app ever,False,2021-08-10 19:28:15,luvlygold,,abeg
20,3,Have not been able to get otp since when she said I should verify with my bvn pls how can i rectify this issue.,Otp wahala,False,2021-08-23 16:37:17,Zeezbahby,,abeg
21,1,"I’ve tried to verify with my bank on the app but it doesn’t choose access bank only access diamond but says error 
If I choose Bvn to verify it sends otp but expires in less than 5 secs of delivery 
I’m start to suspect foul play here oo",Frustrating!,False,2021-07-26 22:23:23,femflexi,,abeg
22,4,Good morning. I just downloaded the app. How safe is it that I have to put in my BVN? Thanks.,BVN,False,2021-09-14 06:38:25,martchuddy,,abeg
23,2,I can’t sign up on my iPhone it bring something went wrong with my connection when my connection is good,It,False,2021-08-21 09:51:25,warees bby,,abeg
24,1,"I was trying to load airtime from my Abeg balance and unfortunately I was debit but I didn’t got the airtime and this is 4th time 

I haven’t load airtime successfully for once",Having issue with loading airtime (Got ripped),False,2021-08-12 09:30:35,Able guyX12,,abeg
25,1,"Don’t download, I withdraw to my bank and it’s not processed successful and they claim it’s successful, I contact my back no such transactions found, I contact Abeg on Instagram, Twitter I even mail them all I get was a silent treatment, don’t use don’t download, they are scam ⚠️⚠️⚠️⚠️⚠️⚠️⚠️",Scam⚠️⚠️,False,2021-04-11 11:26:49,Huncho4reva,"{'id': 24290793, 'body': 'Hello, We apologise for the inconvenience you experienced while trying to withdraw. If you are still experiencing this issue, please send and email to hello@abeg.app and our support team will gladly help out.', 'modified': '2021-08-03T13:21:52Z'}",abeg
26,1,Please I have been trying to withdraw my money from the app but I’m unable to it keeps reversing I have uninstalled the app and tried several times but to no avail,Unable to withdraw,False,2021-08-25 08:52:04,guibbylekan,,abeg
27,1,"What’s going on, a lot of people are complaining that the app is not well,and you guys are spending a lot of money on your advertisements.I can’t afford to loose my money, I need a response",Confused,False,2021-08-01 19:00:16,Farihaan,"{'id': 24289672, 'body': 'Hello, we sincerely apologise for any inconvenience. Please send a mail to hello@abeg.app and our support team will be ready to help you. ', 'modified': '2021-08-03T12:37:38Z'}",abeg
28,1,I use an iPhone 6. I have tried signing up severally even using different service providers. Still won’t let me. How do I go about it,Unable to Sign up,False,2021-08-15 10:23:04,it's Bae_U,,abeg
29,2,"People are unable to withdraw or even buy airtime , the money will keep bouncing back to your account. Wft",Unable to withdraw,False,2021-09-16 00:49:27,Slimberryekun,,abeg
30,5,We need Face ID on the app pls and more 👍👍👍,Good Security,False,2021-08-03 04:40:46,Marshall321,,abeg
31,1,This app is trash you people should not start something you can’t finish can’t even register an account,Error,False,2021-08-14 11:53:16,anony1998,,abeg
32,1,Am having issue with my account have been trying to withdraw my money but it not going trough,Issue,False,2021-09-15 15:22:44,keshybaba,,abeg
33,1,I’m having issues withdrawing my money what’s wrong it’s been three days and it’s really frustrating,Withdrawal issues,False,2021-09-04 11:15:26,rikkadononi,,abeg
34,1,While I was trying to login back after creating my account the app was just malfunctioning and displaying error ...,Malfunctioning,False,2021-08-01 23:36:42,Azeez56,"{'id': 24289547, 'body': 'Hello, we apologise for the inconvenience, please uninstall the app and try again, thank you!', 'modified': '2021-08-03T12:32:32Z'}",abeg
35,1,I haven’t been able to sign up after downloading the app!,Unable to sign up,False,2021-08-11 17:10:37,bxsii,,abeg
36,1,"Tried so many times inputting my Cameroonian number cus I’m in Cameroon but it doesn’t accept it😕☹️☹️
I’d probably add the stars when this is fixed.",It isn’t international???,False,2021-08-01 16:11:32,Success Chideraa,"{'id': 24289742, 'body': 'Hello, thank you for your interest in using Abeg, however we are only available in Nigeria for now.', 'modified': '2021-08-03T12:41:06Z'}",abeg
37,1,"This is the most stupid app I have ever download, cant withdraw your money. I purchase airtime up till now I can’t get it. Pls don’t download it",Most stupid app ever,False,2021-08-12 08:02:30,King Ush,,abeg
38,1,The app keeps crashing every time I’m trying to do anything. Please fix up,Crashes,False,2021-08-01 11:58:39,DadeD4D3,"{'id': 24289845, 'body': 'Hello, We are glad to inform you that this issue  has been sorted out. If you have more enquiries, please send an email to hello@abeg.app', 'modified': '2021-08-03T12:44:36Z'}",abeg
39,1,I can’t buy airtime with the app most features aren’t even working,Features,False,2021-09-05 12:22:34,Mike_X4,,abeg
