,isEdited,title,date,userName,review,rating,developerResponse,brand,index,id,body,modified
0,False,Account not creating,2021-08-04 23:02:04,pablo_malki,I have been trying to create an account it’s going through,3,,abeg,0,,,
1,False,Terrible app,2021-04-18 17:01:19,dhark1737,This is an app that shouldn’t even be on for download the app is just straight up frustrating from the beginning of my registering the app is filled with bugs even after I put in the otp it still didn’t load I restarted the app put in my information to login and they told me it was invalid I tried to register again with the same number but they said it was already taking  I tried with another number and email address only for the same thing to happen if you download this app uninstall it now  before you lose money,1,"{'id': 24290699, 'body': 'We apologise for the difficulties you experienced while registering with us. Kindly email hello@abeg.app and we will be happy to help you further.', 'modified': '2021-08-03T13:16:44Z'}",abeg,1,24290699.0,We apologise for the difficulties you experienced while registering with us. Kindly email hello@abeg.app and we will be happy to help you further.,2021-08-03T13:16:44Z
2,False,Terrible app,2021-04-18 17:01:19,dhark1737,This is an app that shouldn’t even be on for download the app is just straight up frustrating from the beginning of my registering the app is filled with bugs even after I put in the otp it still didn’t load I restarted the app put in my information to login and they told me it was invalid I tried to register again with the same number but they said it was already taking  I tried with another number and email address only for the same thing to happen if you download this app uninstall it now  before you lose money,1,"{'id': 24290699, 'body': 'We apologise for the difficulties you experienced while registering with us. Kindly email hello@abeg.app and we will be happy to help you further.', 'modified': '2021-08-03T13:16:44Z'}",abeg,1,24783778.0,"Dear friend, we are really glad that you like our product. Your support and voice are very important to us.

",2021-08-29T17:54:46Z
3,False,Transfer not reflected,2021-09-06 11:05:06,paulkeyz234,I make transfer to my account it was successful but I didn’t get the value why all this since 24 hours now and you said it’s a fast app am in pain now because I need the money fast that’s the reason I save up there now to withdraw and get my money is hard (I also purchase card of Mtn 500 which I didn’t get the value but I leave that ) just credit me the money I make the transfer please oooo ehene (I email you no response I call your customer care line no response who those that ?),1,,abeg,2,10566825.0,All inconveniences duly regretted. Please send us an email via hi@flutterwavego.com for real time support. We are always happy to assist.,2019-09-07T19:04:17Z
4,False,Having issues.,2021-02-19 09:46:51,Carol Glass,I registered the app but the problem I have is my number that’s linked to my bvn which I don’t have access anymore. I went to my bank to change it and they said it can’t be changed. So what do you advice I do. Thanks.,5,"{'id': 24290732, 'body': 'Hello, we apologise for the difficulties you experienced while registering with us. Kindly email hello@abeg.app with a clear picture of a valid ID and your account details  and we will be happy to help you further.', 'modified': '2021-08-03T13:18:37Z'}",abeg,3,24290732.0,"Hello, we apologise for the difficulties you experienced while registering with us. Kindly email hello@abeg.app with a clear picture of a valid ID and your account details  and we will be happy to help you further.",2021-08-03T13:18:37Z
5,False,Having issues.,2021-02-19 09:46:51,Carol Glass,I registered the app but the problem I have is my number that’s linked to my bvn which I don’t have access anymore. I went to my bank to change it and they said it can’t be changed. So what do you advice I do. Thanks.,5,"{'id': 24290732, 'body': 'Hello, we apologise for the difficulties you experienced while registering with us. Kindly email hello@abeg.app with a clear picture of a valid ID and your account details  and we will be happy to help you further.', 'modified': '2021-08-03T13:18:37Z'}",abeg,3,16067724.0,"Hi Osobu, We would like to chat with you with regard to your experience with us. Can you provide us your emails at hi@flutterwavego.com so that we can reach out and further advise?

We look forward to your response.

Regards,",2020-06-18T09:34:21Z
6,False,Promising Naija Application,2021-09-08 14:04:08,alapsmi20,"No worries, the sky is the limit. Hoping it would create a platform where we can shop online, inclusively the Logistics program should be the next line of business.",5,,abeg,4,19643228.0,"Hello Bassey, we will like to assure you that Barter is a product of Fluttterwave, Not WEMA, the WEMA bank account option is strictly for funding your wallet, we deeply apologize for the less than satisfactory experience.",2020-12-09T10:15:10Z
7,False,Saving platform,2021-08-20 20:04:22,thatnayachick,"I just downloaded,I want to know if there is an option for saving with interest?.",5,,abeg,5,20272441.0,"We are pleased that you enjoyed the app. If there is anything we can do for you, just let us know at hi@flutterwavego.com!
",2021-01-08T17:41:30Z
8,False,Unable to withdraw,2021-07-28 06:06:59,08132320195,"Am having issues withdrawing my money since yesterday , hope no problem with my account",4,"{'id': 24290166, 'body': 'Hello, We are glad to inform you that the issue with registration has been sorted out. Please uninstall the app and try again. If you still have more enquiries, please send an email to hello@abeg.app 💜', 'modified': '2021-08-03T12:55:41Z'}",abeg,6,24290166.0,"Hello, We are glad to inform you that the issue with registration has been sorted out. Please uninstall the app and try again. If you still have more enquiries, please send an email to hello@abeg.app 💜",2021-08-03T12:55:41Z
9,False,Unable to withdraw,2021-07-28 06:06:59,08132320195,"Am having issues withdrawing my money since yesterday , hope no problem with my account",4,"{'id': 24290166, 'body': 'Hello, We are glad to inform you that the issue with registration has been sorted out. Please uninstall the app and try again. If you still have more enquiries, please send an email to hello@abeg.app 💜', 'modified': '2021-08-03T12:55:41Z'}",abeg,6,24402753.0,"Hi, we're so sorry for the inconvenience caused. Please write to hi@flutterwavego.com and our team will help resolve your issue quickly. Looking forward to hearing from you. ",2021-08-09T13:51:17Z
10,False,Withdrawal account,2021-08-26 13:21:44,demxeey,I have a problem with adding my withdrawal account it keeps telling me add a valid account and the account I’m adding is the one i use regularly,4,,abeg,7,12128243.0,"Hi, thank you for reaching out to us. We highly regret the inconvenience this has caused you. Here are our support numbers you can reach us on for further engagement;

+2349072524281
+2348170921889
+2347068788082

We look forward to hearing from you. Thank you.",2019-11-29T22:33:07Z
11,False,Am joining the app because of whitemoney,2021-08-20 17:57:11,wfkingOG,My joining the app is all because of whitemoney performance on today’s first task of a beg #whitemoney all the way.,5,,abeg,8,23341923.0,"Hello, we truly appreciate this feedback, and we'll be sure to look into this, as we work to serve our customers better. Thank you. ",2021-06-12T09:20:25Z
12,False,Unable to withdraw,2021-09-10 21:03:59,oluwatimi2000,Im having issues withdrawing to my bank account i hope no problem,4,,abeg,9,,,
13,False,You people are scammers,2021-08-18 17:18:00,billyofeast,"Refund my 5,000 airtime purchase that you didn’t deliver. I have sent you guys messages on Twitter but all I get is excuses. You people also don’t reply emails, your phone number in the app why did you remove it, refund my money or I swear I will make a complain to CBN. I have all the evidence",1,,abeg,10,16853134.0,"Hello, We are pleased that you enjoyed the app. the WEMA account number attached to your account can only be used to fund your Barter account. There is a universal daily transfer limit of 50K NGN on barter. For more information, please write to us via hi@flutterwavego.com! Have a wonderful day!",2020-07-24T15:39:04Z
14,False,Account number issue,2021-08-02 18:48:26,pypper12,"Hi, I can’t get my account number after verifying  my account",5,,abeg,11,21498681.0,"Hi, we're sorry to hear that and we would love to take a look at the issue. Please reach out to our customer support team at hi@flutterwavego.com.
",2021-03-07T23:31:35Z
