,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,brand
0,gp:AOqpTOFpp2DVpXHh8GArIQzwlmgpBce0i-y4dCBU2SDaBHWeUblhqWhHslo9_Rr-p_V8v7ZxLV9kQ79Cx6z2yQ,favour olise,https://play-lh.googleusercontent.com/a/AATXAJykoxN44FqXG4ngYWDOzHG3DvexWfnAtvzjIGIL=mo,cool,4,0,3.0.8,2021-10-03 16:07:22,,,com.abegapp
1,gp:AOqpTOGKOLNr3gfHkj8H-XQiabi6oFrUbR7rSnkX4RDurvGdoC1wppH4b_2AzVwEYIi_DLbVx6dUNsmkl6tfLg,Abasiono Inyang,https://play-lh.googleusercontent.com/a-/AOh14GibDhbGRwTrWpDkd7CJIZ_lK23B5-Hf94xJgfVj_w,Excellent transaction,4,0,3.0.8,2021-10-03 11:50:52,,,com.abegapp
2,gp:AOqpTOEwB_DaNIev2RKrpaLkTyvDoSx8xOkVihX1a5h5iyVk7_4mNLEQqFsbpJAUcizWuRFlQ0FRxBbomSGvNw,Demion Deshi,https://play-lh.googleusercontent.com/a/AATXAJyIdv1tVYEZRxB71IiHg5IXFizyYy1oVC3ht5Xn=mo,Nice n good,5,0,,2021-10-03 09:27:21,,,com.abegapp
3,gp:AOqpTOFWDtdG50ALHMzzNw5BrDPkYcbScqCaPqynMM-qOPNiJXcP_evY9llaIYPTLn0LQ-uzcz8NCzuq8JZ3HQ,ADEWALE TEMITOPE,https://play-lh.googleusercontent.com/a/AATXAJxJnZN2i-AMqpBwwfVFOikSW53yC8mV0qQk-3pU=mo,Abeg keeps sending OTP to my long lost mobile number attached to my BVN making it impossible for me to use the App. I've changed my number and other banks send OTP to the latest number except Abeg App 💔,1,0,,2021-10-03 06:57:44,,,com.abegapp
4,gp:AOqpTOG-3jXubIMcvbz6BWmUlJLruZZkXr-2SbccPUDgOejI08tUpr4rNL8XZTr4y0LB3rFmVGYKokVXVxlCrw,joe simon,https://play-lh.googleusercontent.com/a/AATXAJyzgMXpbfKgZ8Pkmd7YWO4TKFHn_xnjCPHe5Jo=mo,abeg oooooo.......you're the best.,5,0,3.0.8,2021-10-03 06:19:24,,,com.abegapp
5,gp:AOqpTOEomUr1-c2xGrXKViejCPZP1kKSS7tNwz97aFuRv0DZ5tvej4qHnwR4PJZxl1MkH5A9tbUVY1f2IU0vEw,Destiny Okpone,https://play-lh.googleusercontent.com/a-/AOh14Gj-918RLRQdphZ0s0q1KC8YhGmuz2dPqSCVs7U_7A,easy to navigate,4,0,3.0.8,2021-10-03 02:31:44,,,com.abegapp
6,gp:AOqpTOFln0WR1ZsZ7naLxqEIRBB_8IQp9-c2wGsQ-MYdKamzZR4RwC9ZxBqcnbg1AnJMjyw_K-kzUEAwHjPb0Q,Aisha Adamu,https://play-lh.googleusercontent.com/a/AATXAJwkA9-582sdAb-3BpnhuGlp_tmFgz4SW5VbefCT=mo,Good app,5,0,3.0.8,2021-10-03 00:25:07,,,com.abegapp
7,gp:AOqpTOHbrgKq-sQnsOTh1FRvLA_fxM8UVOd8EzmAOMoxMAl8L9My4pKNIl95KEdZzB_NwqkCQIo7mmNJUXWWmQ,Sam Jerrison,https://play-lh.googleusercontent.com/a/AATXAJxhdaNKJGqWG0fCYlv2BBhS9ZeID1Ml_WEE3i_C=mo,it real,5,0,3.0.8,2021-10-02 23:39:08,,,com.abegapp
8,gp:AOqpTOGR0svvp0NktZDaC_ivsbiwjJcu425Z3KnW5dPKNn74GP1NgOggMhnueQ1pMPRQjV_ViowXrrLOn63DKg,victor chuks,https://play-lh.googleusercontent.com/a/AATXAJzgxMrWe5gkaJYj71afk1fLR-xSLR_N5gfQY3CJ=mo,good app,5,0,3.0.8,2021-10-02 23:17:42,,,com.abegapp
9,gp:AOqpTOGvPcCag66onBVhQVS3niqOrlY1aEKNqs4tpyU7-iE9kel5LKXSYBbl7QMwq5Ok-Kw5tqmnOR__aKxgmQ,enwose anthony,https://play-lh.googleusercontent.com/a-/AOh14GgVFZcp_JtV822zihEA76agCNeZXYZD5fKrvdIfAw,"Never works with my mobile data.... I use a Huawei nova 3 with 4G LTE CAT 16 1024/150 Mbps...but when i use wifi, it works...",1,0,3.0.8,2021-10-02 21:26:50,,,com.abegapp
10,gp:AOqpTOEKrzZcNmD3VEJWcM4Sszuv4fj3x8DsugElRMSDbO1A1_z7O4VTWRjU3VK-U418aeGTCGl-dOpstsBv2A,Lawal OluwaKayode Adesanya,https://play-lh.googleusercontent.com/a-/AOh14Gjj0CoX7m6DTt62Oi8jiLhlF2RmEoY6r8P6N_U8,"Ive been trying to sign up for days now, its not loading. Very annoying",1,0,,2021-10-02 20:40:46,,,com.abegapp
11,gp:AOqpTOFK7hmsjjBXm4YbHZZIrbdSD7o8wr3s_Xeru0oPdiVVvifK6Z1UR9sD5YQoQldJyRiQ9GzT-b7rBtipCg,Adedolapo Adekunle,https://play-lh.googleusercontent.com/a/AATXAJwPuzdL2LP4Mp8LJiW3GbmNrDrhKEZsBLuo9Qco=mo,"If their is another word to describe how frustrating your app is, I won't mind writing it. I was told to link it with my piggyvest yesterday and I did then I downloaded the app just to see how things are been run only for the app to be on the same spot since yesterday. I can't sign in and my money is dere or is this a new way of scamming people because I'm confused about the app. Please recertify it and let me see if the app is real or else let me delete it. I need the space on my phone........",1,0,3.0.8,2021-10-02 19:54:12,,,com.abegapp
12,gp:AOqpTOFkmPEDmiiwQ44yf3rLWuVNZallJ5yBLIhz4nYGLf_8cyH_0iQS2coKIGaZZaCfvqD6Gupw669goYlZaA,Nakeer Olamilekan,https://play-lh.googleusercontent.com/a/AATXAJzbE0v8ZkILEKOw98JoF10einsZAXhgG_Sd8PTI=mo,Please no one should use this app again they are scammer 🙏🙏🙏 for the sake of God don't ever download this app on your phone they're lier okay ...they took my 1500 and couldn't refund it back to me also pigyvest that app also are scammer abeg app connect with them to scam us please if you have any money in either abeg account or pigyvest right now remove all your money now now now .....they have bribe pigyvest make it snappy and commot your money it's very very important 🙏🙏take care friends.,1,0,3.0.8,2021-10-02 19:44:32,,,com.abegapp
13,gp:AOqpTOFzAJuuo5mnQbeCcpcRzj4W-azrZW91XNH_ru_bciyAZGOSLZaZE11i7U3ObkhAl744LFKXP74ee09Q-A,Christian Nwakanze,https://play-lh.googleusercontent.com/a-/AOh14Gjoo6E2a2x1GCgTeLmrfILeM3734rH1Zx6Y67vx,nice app,1,0,3.0.8,2021-10-02 19:23:04,,,com.abegapp
14,gp:AOqpTOHWFdrNg6gD6NDLfZbS8LyBIzc52QmBPGvLThCCLfIUc1T0rVk9Gn4p08wuxcLKTfkeZvNMAcbD64MKOQ,afolabi ola,https://play-lh.googleusercontent.com/a-/AOh14GjYCpYtSmDH-qY9wCDHHz7USpG1F1bzOgufagxL,very helpful,5,0,3.0.8,2021-10-02 17:20:18,,,com.abegapp
